gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
Female;No;No;No;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);748;35483;No
Male;No;No;No;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;10635;354925;Yes
Female;No;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);9785;11054;Yes
Male;No;Yes;Yes;10;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Mailed check;4955;4757;No
Female;No;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Two year;Yes;Credit card (automatic);692;487235;No
Female;No;Yes;Yes;17;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;2075;41825;No
Female;No;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);7985;486145;No
Female;No;Yes;No;13;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;762;98145;No
Female;No;No;No;49;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;845;39067;No
Male;No;No;No;2;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;4925;97;No
Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;8065;14415;Yes
Male;No;No;No;52;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);7975;42178;No
Female;No;Yes;Yes;69;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);6415;42541;No
Female;Yes;No;No;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;9025;383875;No
Female;No;No;No;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);991;14264;Yes
Female;Yes;Yes;No;25;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);695;175265;No
Female;Yes;Yes;No;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);8065;6333;Yes
Female;Yes;Yes;Yes;60;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);7485;445635;No
Male;Yes;No;No;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9545;175255;Yes
Female;No;Yes;Yes;63;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);9965;63112;No
Male;Yes;Yes;Yes;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;10845;707635;No
Female;No;Yes;Yes;34;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);2495;8943;No
Female;No;No;No;72;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);1075;78537;No
Female;No;Yes;No;47;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;1005;47071;No
Male;No;No;No;60;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);899;54507;No
Male;No;Yes;No;72;No;No;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Bank transfer (automatic);421;2962;No
Female;No;Yes;Yes;18;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);544;9571;No
Female;No;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;944;85725;Yes
Female;No;No;No;3;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;753;2441;No
Male;No;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check;789;365035;No
Female;No;No;No;31;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;792;24972;No
Female;No;Yes;Yes;50;Yes;No;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);2015;9309;No
Male;No;No;No;10;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;7985;88735;No
Male;No;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;4905;4905;No
Female;No;Yes;Yes;52;Yes;No;No;No;No;No;No;No;No;One year;Yes;Electronic check;204;109065;No
Male;Yes;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);1116;7099;No
Male;No;Yes;Yes;62;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);2425;14246;No
Female;No;No;Yes;3;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);645;1774;No
Female;Yes;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;1105;61395;No
Female;No;No;No;46;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Credit card (automatic);5565;268885;No
Female;No;Yes;Yes;8;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;5465;48225;No
Male;Yes;No;No;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;7475;21113;No
Female;No;Yes;Yes;45;Yes;Yes;No;No;No;No;No;No;No;One year;Yes;Credit card (automatic);259;12166;No
Female;No;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;7935;7935;Yes
Female;No;Yes;Yes;11;No;No;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;5055;56535;No
Female;No;Yes;No;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);7515;4969;Yes
Female;No;No;No;42;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);1038;43275;No
Female;No;Yes;No;49;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);2015;97335;No
Male;No;No;No;9;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);993;91875;No
Female;No;Yes;No;35;Yes;No;DSL;Yes;No;No;No;Yes;No;One year;Yes;Bank transfer (automatic);6215;221545;No
Female;No;Yes;Yes;48;Yes;No;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);2065;1057;No
Female;No;Yes;Yes;46;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Mailed check;1995;9271;No
Male;No;Yes;No;29;No;No;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;3375;100925;No
Male;No;Yes;Yes;30;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);8205;25702;No
Male;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;747;747;No
Male;No;Yes;Yes;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;84;571425;No
Female;No;No;No;65;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);11105;7107;No
Male;No;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);1009;745905;No
Female;No;No;No;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;7895;92735;Yes
Male;No;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic);6685;47487;No
Male;No;No;No;5;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;2105;11385;Yes
Male;No;No;No;52;Yes;No;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);21;11072;No
Female;Yes;Yes;No;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;985;25145;Yes
Male;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;202;202;No
Female;No;Yes;Yes;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Electronic check;1945;1945;No
Male;No;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;One year;No;Bank transfer (automatic);95;36056;No
Female;Yes;Yes;No;66;No;No;DSL;No;Yes;Yes;No;Yes;No;One year;No;Bank transfer (automatic);4555;302725;No
Male;No;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110;761185;Yes
Male;No;No;No;5;No;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;243;1002;No
Female;No;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;10415;730305;No
Female;No;No;No;32;No;No;DSL;Yes;No;No;No;No;No;One year;No;Mailed check;3015;92765;No
Male;No;No;No;43;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Mailed check;9435;39213;No
Male;No;Yes;Yes;72;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);194;136325;No
Male;No;Yes;No;55;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;9675;52389;Yes
Female;No;No;No;52;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;No;Credit card (automatic);5795;304225;No
Female;No;No;No;43;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;9165;39541;No
Female;Yes;Yes;No;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;765;286815;Yes
Female;No;Yes;Yes;64;No;No;DSL;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Electronic check;546;34235;No
Male;No;Yes;Yes;3;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;8985;2484;No
Female;No;No;No;36;No;No;DSL;Yes;No;No;No;No;No;Two year;No;Bank transfer (automatic);3105;112635;No
Female;No;Yes;Yes;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;10025;106465;Yes
Female;No;No;No;41;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;2065;83515;No
Male;No;Yes;Yes;27;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);852;21516;No
Female;No;Yes;Yes;56;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);998;551545;No
Female;No;No;No;6;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;207;11275;No
Male;No;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;744;22955;Yes
Female;No;Yes;Yes;7;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;507;35035;No
Female;No;Yes;Yes;4;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;2085;629;No
Male;No;No;No;33;Yes;No;Fiber optic;Yes;No;No;Yes;Yes;No;Two year;Yes;Electronic check;8895;302765;No
Female;Yes;No;No;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;7805;21355;Yes
Male;No;Yes;No;72;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);2355;172395;No
Male;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;1975;1975;No
Male;Yes;No;No;71;No;No;DSL;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;5645;398535;No
Female;No;No;No;13;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;8595;121565;No
Female;No;Yes;Yes;25;No;No;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);586;150265;Yes
Male;No;No;No;67;Yes;No;DSL;No;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);5055;32601;No
Male;No;No;No;1;No;No;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;3545;3545;Yes
Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;4435;8125;Yes
Female;No;No;No;43;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Credit card (automatic);257;11882;No
Female;No;No;No;23;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75;17785;No
Female;No;Yes;Yes;64;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;202;127775;No
Male;No;No;Yes;57;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Mailed check;196;117055;No
Female;Yes;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;7045;7045;Yes
Female;Yes;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);8805;642565;No
Female;No;No;No;8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Electronic check;7115;56365;Yes
Female;No;Yes;No;61;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);10105;597125;No
Male;No;No;No;64;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;One year;Yes;Credit card (automatic);843;528905;No
Male;Yes;Yes;No;71;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);2395;17562;No
Female;No;Yes;Yes;65;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);9905;64167;No
Male;No;No;No;3;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;196;6135;No
Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;4565;4565;Yes
Male;No;No;Yes;30;Yes;No;DSL;No;Yes;Yes;No;Yes;No;One year;No;Credit card (automatic);645;192995;No
Male;No;Yes;Yes;15;Yes;No;DSL;No;Yes;Yes;Yes;No;Yes;Month-to-month;Yes;Mailed check;695;10714;No
Female;No;Yes;Yes;8;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;6855;56435;No
Male;No;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Mailed check;95;6555;Yes
Female;No;Yes;Yes;70;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);10815;793055;No
Male;No;Yes;Yes;62;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Electronic check;861;521525;No
Female;No;Yes;Yes;6;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;197;1135;No
Female;No;Yes;Yes;14;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);809;11528;No
Female;No;No;No;22;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);8415;182195;No
Male;No;Yes;Yes;22;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;2015;4199;No
Male;No;Yes;Yes;16;Yes;No;DSL;Yes;No;Yes;No;Yes;No;Two year;No;Mailed check;6425;1024;No
Male;No;No;No;10;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);257;2516;No
Female;No;No;Yes;13;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;56;76455;No
Female;No;Yes;No;20;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;824;159235;Yes
Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;697;1352;No
Male;No;No;No;53;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);739;395825;No
Female;No;Yes;Yes;11;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;206;2339;No
Male;No;Yes;No;69;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;199;136345;No
Female;No;No;No;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);709;273;Yes
Male;No;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);8905;625445;No
Male;Yes;Yes;No;58;No;No;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;453;26512;Yes
Female;No;Yes;Yes;16;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Electronic check;204;3214;No
Male;No;Yes;No;43;Yes;No;Fiber optic;Yes;No;Yes;Yes;No;No;One year;Yes;Bank transfer (automatic);8425;353925;No
Female;No;Yes;No;2;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;1044;2428;Yes
Male;No;Yes;No;14;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;8195;118175;No
Female;No;Yes;No;53;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);9485;50002;Yes
Female;No;No;No;32;Yes;No;No;No;No;No;No;No;No;One year;No;Bank transfer (automatic);2055;65455;No
Female;No;Yes;No;34;Yes;Yes;No;No;No;No;No;No;No;Month-to-month;No;Electronic check;247;7802;No
Female;Yes;No;No;15;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;7445;11457;Yes
Female;Yes;No;No;7;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);7645;5036;Yes
Female;No;Yes;Yes;15;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);10535;155925;No
Male;No;Yes;No;61;Yes;No;No;No;No;No;No;No;No;One year;Yes;Credit card (automatic);2055;1252;No
Female;No;No;No;1;No;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);2995;2995;Yes
Female;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;453;453;No
Male;No;No;No;8;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);845;66265;Yes
Male;No;Yes;Yes;33;Yes;No;DSL;Yes;No;Yes;No;Yes;Yes;One year;No;Credit card (automatic);7475;24533;No
Female;No;No;No;13;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;7925;111165;Yes
Female;No;Yes;No;1;No;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;248;248;Yes
Male;No;No;No;20;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;518;102385;No
Male;No;No;No;3;No;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;304;8215;No
Female;No;No;No;13;Yes;No;No;No;No;No;No;No;No;One year;No;Electronic check;1965;2448;No
Female;No;Yes;No;40;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;No;Credit card (automatic);566;23791;No
Male;No;Yes;Yes;43;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;One year;Yes;Credit card (automatic);719;317335;No
Male;No;Yes;No;6;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;91;531;Yes
Female;No;Yes;Yes;69;Yes;No;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);1975;13754;No
Female;No;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Two year;No;Credit card (automatic);1097;81293;No
Male;No;Yes;Yes;59;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);193;11927;No
Female;No;Yes;No;20;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;9655;190165;No
Male;No;Yes;Yes;24;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);241;5874;No
Male;No;No;No;59;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;11135;651975;No
Male;No;Yes;Yes;72;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);11225;804165;No
Male;No;No;Yes;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;2075;2075;No
Female;No;Yes;No;27;Yes;No;Fiber optic;Yes;No;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);1019;268115;No
Female;No;No;No;14;Yes;No;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);8005;11123;No
Male;No;Yes;Yes;71;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Two year;No;Electronic check;10555;74055;No
Male;No;No;Yes;13;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);783;103395;No
Male;No;No;No;44;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);6885;295895;No
Female;No;No;No;33;Yes;No;Fiber optic;No;Yes;No;Yes;No;No;One year;Yes;Bank transfer (automatic);7995;268485;No
Male;No;Yes;Yes;72;No;No;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Credit card (automatic);5545;41792;No
Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;799;799;Yes
Female;No;No;No;19;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;1066;193445;Yes
Male;No;Yes;No;64;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);10245;66541;No
Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);46;845;Yes
